X,text
72,Watch briefing on Demonetization by DEA Secy DasShaktikanta this morning here
73,DeshhBhakt seems deskbhakt was in hibernation mode when GPS enabledrs was launched by Mododemonetization edUAUBDedUBUedUAUBDedUBUedUAUBDedUBUMonaAmbegaonkar
74,"Looks Ambit Capital literally Choked with demonetization comeon U cant lower d GDP nos by huge margin
Perhaps they…"
75,airtelindia takes a bite of the governemnt big demonetization pie becomes first paymentbank to go live
76,The opposition is getting troubled because all their BlackMoney have become just a piece of paper due to demonetization UCUUEUEUUUFUAUUDU
77,"sritara GabbbarSingh sidin 
Please read alternative side of story also on Demonetization amp support to PM Modi"
78,The effect of DeMonetization has already shared by narendramodiAction are more important than words…
79,Joined the line of Opposition MPs demonstrating solidarity on demonetization ampdemanding that PMOIndia address Parliame…
80,After much contemplation I have come to the conclusion that nothing explains Modis DeMonetization better than monumental stupidity
81,Days before Demonetization announcement ncbn sold his Heritage sharesclearly evident that he had prior knowledge of the…
82,In view ofcurrent situation RTGS timehas been extended uptoPM till th NovemberDemonetization
83,RT ZeeNewsSports Demonetization harbhajansingh gives hilarious shagun suggestion to those struggling with we…
84,"Former FinSec RBI Dy Governor CBDT ChairHarvard Professor lambaste Demonetization

If not for Aam Aadmi listen to them no PM Modi"
85,RT ZeeNewsSports Demonetization harbhajansingh gives hilarious shagun suggestion to those struggling with we…
86,"How come those people crying for line in banks are not crying for line ups here in

demonetization"
87,Demonetization harbhajansingh gives hilarious shagun suggestion to those struggling with wedding season…
88,Modis demonetization received massive public approval So why is opposition worried about common man and create ruckus i…
89,Harvards Larry Summers calls Demonetization as poor policy with disproportionate negative impact on poortrade
90,Demonetization The Ultimate Weapon against Black economy
91,Monumental blunder or monumental plunder or both demonetization
92,And they say demonetization is failure
93,Modi acted against national interest The way to cashless economy need not be Demonetization A badly planned move
94,"More thanFish Vendors across Kolkata have started using ewallets
Before demonetization this number was zeroThi…"
95,When was the last time you saw Naveen Patnaik or Chandrababu Naidu being interviewed on BBC or NDTV on DeMonetization
96,A Housewifes view on demonetization
97,suryanavin MD ItzCashwas live on ET talking about the impact of Demonetization towards digitization in India
98,Difficult to verify but if true points to orchestrated campaign to discredit demonetization with paid fearmongers htt…
99,"LampT is retrenchingemployees 
Hope none of the supporters of Demonetization are included"
100,"This is exactly how some people behaving on demonetization 

Since Modi Did it lets oppose it
If Sonia Gandhi have done i…"
101,"Today I delivered a speech on various issues including BlackMoney n demonetization at BJPKonnagar
narendramodi AmitShah s…"
102,Economy and cost of Demonetization
103,NO MamtaOfficiaI will say this fire was caused because of DeMonetization and narendramodi is responsible
104,"Most people are with you narendramodi on Demonetization
Pl run a poll on where citizens face most harassment in the…"
105,Demonetizations Impact On the India Retail sectorReTales by Pankaj RenjhenET Retail
106,A World Economist is Rubbishing Demonetization in India and mind it he doesnt have to score Brownie Points in Indian Politi…
107,YRDeshmukh Yes We should always rely on private psephologistsagenciesAlways reliablerealDonaldTrump can vouch for itdemonetization
108,Demonetization is the nd word trending after Intolerance Thanks Pappu Kejri Mamta VishalJanSabha KhulkeDulke Ind…
109,"Today I sawblack money hoarders out ofcrore
standing in ques outside Parliament against
Demonetization"
110,"day namovolunteers had meeting with malviyamit ji over demonetization decidedexpose opposition by
UUEUUUAUBUUE…"
111,Exceptional response by the people in support of Demonetization
112,Even if yourewhite money amp even if youre unaffected this demonetization move has given a lot of folks a reason to pa…
113,"MrDustobin of TMC to release Mamta App world wideto look after demonetization support

quizderek Goldenthrust"
114,Demonetization Now affecting even the dumb rich who now have to use public transport
115,"Cousin firedstaff today with a promiserehire inmonthsSays no new ordersno cash to pay them Heartbreaking

Demonetization"
116,"I thought only black money holder wud hate demonetization
No there r many we cal them by many names like C l etc etc
demonetization"
117,surajagarwal more bhakt abuse more Modi reduce demonetization open pandora box everyone knows Modi has no brain everything go in drain
118,How can a PM who cant even control his emotions control an entire nation Demonetization NotADefaulter PMModi NotProCongress edUAUBEedUBUedUAUBDedUBU
119,No issues with demonetization my maids son exchanged money in justmins that too when she doesnt have a son and I…
120,RajanAnandan would be interesting to look at this research again in light of demonetization A real blackswan…
121,Demonetization Is Disasternaampk
122,"Things are very fast getting back to normal No long queues in Bhopal banks and ATMs anymore
DeMonetization"
123,ArvindKejriwal AamAadmiParty how you guys reachedlakh ghotala in Demonetization process Pls explain the number TimesNow
124,"World is full of smart people
demonetization"
125,Demonetization has long term benefits Pain now is temporary Let us help nation to make India corruption free
126,"Wow Demonetization Survey ResponseLakh citizens in little overhrs
Participate now"
127,Not surgical strike Its the nuclear button This is Modis Pokhran Kudos demonetization
128,And the Oscar goes to MrUDUEUUU edUAUBDedUBUAedUAUBDedUBUAedUAUBDedUBUAedUAUBDedUBUADdemonetization
129,Amazing how videos showing ppl happy with demonetization end up as mobile forwards unhappy videos land on sardesairajdeep tl prestitutes
130,Rahul GandhiPM favours Rich peopleOfficeofRG who do u think Peons and sarkari babu are Demonetization
131,Demonetization modi ji just like your surveymrs clintonwas also winning the elections in all the surveys
132,Acid test for Modi and BJP Demonetization hits Indian life India banking SouthAsia
133,Cant say anything about Productivity but Creativity has increased after Demonetization
134,Acid test for Modi and BJP Demonetization hits Indian life India banking SouthAsia
135,Post the Indian currency Demonetization move BJP or Modi has garnered a huge base of Foes and Psychopaths
136,"So this is what Demonetization has done aside killing overpeople
CashRush BlackMoney"
137,Reduce the perks amp benefits of all MPs and MLAs bydemonetization
138,"The only thing I have gained from Modis demonetization is one addiction to my Hindi vocabulary I now know the meaning of bewafa
India"
139,ArvindKejriwalkindly bring your application for real survey on demonetization to know actual truth how unhappy people are
140,"What is the impact of Demonetization on various sectors like Real Estate Consumption Banks
Read our views here"
141,"How will inflation and interest rates react to Demonetization 
Read our views here"
142,muglikarSBI slashes bulk deposit term deposit rates drastically CASHualty of demonetization
143,Interesting results from narendramodi APP poll on DeMonetizationIt is still openPlease participate
144,Demonetization IndiaFightsCorruption Immense courage needed to take such a momentous decision arunjaitley narendramodi P…
145,The Modi app on DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hardship of the people
146,"DemonetizationMythsBusted
Anyone dying withinkm radius of bank is coz of Demonetization and Modi is directly resp…"
147,SriSriRavi Shankar roots for demonetizationhails PM narendramodi
148,Doltiwal I mean JaiChandKejriwal is hurt by Demonetization as the same has rendered USELESS edUAUBDedUBU acquired funds…
149,Heard someone saying Home loans will go down soon Demonetization may work there
150,People these days are practicing to get the tickets whenwill release by making queue in bank n ATMdemonetization…
151,Do you support the Oppositions agitation against demonetizationParticipate n d DNA poll amp see the results
152,OfficeOfRG u sayin inconvenience due to demonetization but ur govt destroying Karnataka by constructing steelbridgeNetaVilla
153,"Today I sawblack money hoarders out ofcrore
standing in ques outside Parliament against
Demonetization"
154,Congress a party which did nothing effective to stop farmers suicide in Maha under its watch now cries over demonetization deaths
155,DemonetizationCan we use Mobile to Mobile cash transfer as a mode of payment to ease cash crunch
156,"Oppositions demand strike UUAUAUEUUUUU 
DeMonetization"
157,"SitaramYechury Continue with your rants against demonetization 
People of Bengal has answered you LOL Salaam"
158,RT Hemant Did you vote on Demonetization on Modi survey app
159,really want to know who goofed up the atm calibrations bit of the planndemonetization
160,Delete Pathetic PM who conducts false poll and self praises himself demonetization BogusPoll…
161,
162,DeMonetizationSome thoughtsweeks over after thatPM speech Lines hv reduced at banks for exchange ATMs h…
163,Watch Somebody made a spoof video on demonetization with AeDilHaiMushkil trailer and its hilarious
164,"Thousands of farmers took out a protest rally in Surat against demonetization
UUUU UFU UDUEUUCU UU UUB UUUU
AcheDin"
165,suryanavinon how the current wave of Demonetization is the apt way towards digitization of the Indian economy
166,Thank You For Historic Participation Says PM Modi On Notes Ban Feedback
167,"Demonetization sideeffect 
 WTF Philosophers
 Whatsapp Facebook Twitter"
168,Quizzer quizderek on DeMonetization thenewshour says polls ansrd on Saradha n dont quote martyrs forgetting GhulamNabiAzad n Bypolls
169,Demonetization will be due from a thousand cutseach loophole that legalizes the old currency This isof them…
170,tillit was people Vs corrupt INCIndia led UPA etcnow after demonetization it is people Vs tax terrorist Govt of narendramodi
171,EXCLUSIVE Inside Paytm the firsthours after demonetization
172,This is a simple survey at my Facebook page This too shows mood of the nation on demonetization Modi has asked wrong questio…
173,novworkhrstand in queue forhrIAmWithModidemonization tughlakmodi demonetization
174,Spoke about demonetization in India and its impact on women with MarcoWerman pritheworld
175,"Must Vote

After days of demonetization Only Lakhs cr returned to Bank out ofLakhs cr 

Kahan gayaLakhs Cr…"
176,Why some bullshits are trying g to be spokesperson of public on DemonetizationLet them decide
177,Today again demonetization debate in Parlmnt stalled due to disruptionedUAUBDedUBU i dont undrstnd why oppstn wants to stall its ow…
178,novworkhrstand in queue forhrIAmWithModidemonization tughlakmodi demonetization
179,chaks mvmeet Well educated Keralites amp Bengalis will support Bandh not coz Demonetization they only know to react not respond
180,"The effect of Demonetization 
ravishndtv ShekharGupta hvgoenka mrsfunnybones GabbbarSingh Iamanirudhsethi"
181,How to convert all your black money into white following the DeMonetization How to…
182,WedNovCommunist Party of India files petition with Supreme Court challenging governments controversial demonetization decision
183,"Any move against demonetization should b comparedtreason This move may hv created little trouble but its gonna save India
netascashin"
184,then the result will be Demonetization regrets Will rural economy turn cashless Remains to be seen
185,"Demonetization India EconomicsBehind
Economics behind demonetization of Rsampnotes"
186,"Oppositions demand strike UUAUAUEUUUUU 
DeMonetization"
187,When u see ppl like Mamta amp Mayawati raising question abt demonetizationthn anyone will be agree that its good move by Modi NoteBandi
188,"RakhiSawant Support demonetization of Currency By PMModi 

VIDEOUC"
189,Spoke about demonetization in India and its impact on women with MarcoWerman pritheworld
190,Demonetization The time has come to put MUDRA into action writes Prof R Vaidyanathan
191,lakh from mil followers of narendramodi isonly amp abtonly frm bil India population demonetization ndtv NOTofIndia
192,OnlyLakhs Responses on Demonetization Modi ji has more thanmillions followers on Twitter amp approx
193,This is a simple survey at my Facebook page This too shows mood of the nation on demonetization Modi has asked
194,narendramodi Demonetization is the last refuge of a political scoundrel who keeps arunjaitley DasShaktikanta etc as aids
195,This is a simple survey at my Facebook page This too shows mood of the nation on demonetization Modi has asked wr…
196,After the demonetization searches about NarendraModis app are trending on app stores
197,sirjadejatitle has been substituted by moderndayhitler after demonetization
198,"Demonetization – How does it impact the common man 
Read our views here"
199,"narendramodi Ji

An unbiased POLL
Of the people
By the people
For the people
of UDUEUUUUUDU abt
demonetization
edUAUBDedUBUCedUAUBCedUBFUBBedUAUBDedUBUFedUAUBDedUBU"
200,"narendramodi
st Phase deposits of demonetization is The Real Currency Requirement of our nation as liquid cash"
201,IndiaFightsCorruption The honest feel vindicated by the historic move on Demonetizationarunjaitley jiBJP Parliamenta…
202,"Just think 

What If RBI removedandnotes without telling anyone Ruling and opposition 

shock n surpriseedUAUBDedUBUB

demonetization"
203,Watch Somebody made a spoof video on demonetization with AeDilHaiMushkil trailer and its hilarious…
204,Gadgets After the demonetization searches about NarendraModis app are trending on app stores
205,MamataOfficial After Demonetization max amount was deposited in JanDhanAccount in WB What is the matter How u brought so…
206,Indias capacity utilization rate on neg trendwont be helped in short term by investment and consumption shock due to demonetization
207,Additonal SecretaryEconomic Affairs GOI MM Kutty called on CM Khandu to discuss on demonetization…
208,One of the greatest computer scientists Dr Vijay Bhatkars views on demonetization decision by Hon PM narendramodi h…
209,ArshadWarsi thanks Hon PM narendramodi for the decision on demonetization and BlackMoney
210,Survey result so far by PMOIndia on Demonetizationlakh response inhrssupports note ban…
211,"RTUCFDrGPradhanUCF

This tweet of minimathur BIBI explains why she is having a prob with demonetization In first p…"
212,"Retweeted Harsh K Kapoor harshkkapoor

DeMonetization survey results afterhours
Lacs opinions
Amazing"
213,RatanTata supports PM Narendra Modi for Demonetization
214,Lower interest rate will ultimately lead to more buyers because of LowerEMI HappyHomes Demonetization
215,Gadgets After the demonetization searches about NarendraModis app are trending on app stores
216,This tweet of minimathur BIBI explains why she is having a prob with demonetization In first part she says s…
217,Police men beats industrialists Ambani groups Black Money holders for standing in queue Demonetization This cop des…
218,After the demonetization searches about NarendraModis app are trending on app stores
219,What do think of the demonetisation of notes demonetization poll RBI Modi
220,On IndiaToday at pm DeMonetization
221,"Total population effected by demonetization 
Internet users 
Smartphone usersmillion 
 lakh app responses"
222,"So CJIThakur says there will be riots due to DeMonetization Qs

No SpicesNSecrets 

No riots due to citizens Waiting…"
223,"The whos who of Indian scams line up
demonetization"
224,How to convert all your black money into white following the DeMonetization How to…
225,SrBachchan sir you are in favour of demonetization and JayaBachchan joins tmc in protest against DeMonetisation is she had lots of bkUB
226,On the topic of demonetization we have an idea what you can do with those old notesgo out fill up amp explore Uncha…
227,narendramodi PMOIndia PMOinIndia demonetization Demonetisationsurvey App is not working on windows phone U PMModi
228,"Who is most corruption party

DeModitisationMarch
BlackMoney 
demonetization 
congress
aap
BJP
other"
229,sardesairajdeep timesofindia SurpriseSurprise So thats why MamataOfficial has been protesting Demonetization from day one
230,Demonetization K Crore Deposited In JanDhanAccount Most From Bengal Karnataka The reason for protestsNDTV
231,Demonetization is a bit like Marxism Great on paper but impractical on ground
232,rsprasad bcoz they only have black money and they dont have facts or points to talk abt demonetization
233,Superb innovation by paytm Paytmapp starts acting as a card swiping machine Demonetization
234,"The effect of Demonetization 
ravishndtv ShekharGupta hvgoenka mrsfunnybones GabbbarSingh Iamanirudhsethi"
235,Minor inconvenience for major convenience of Vijay Mallya and friends demonetization
236,Left is going to file a petition in SC against govts decision on demonetizationMy que is why the hell dont you debate i…
237,"GST Council got postponed today Pakistan has consecutively breached LOC the last week 
Bad state of Railways
Demonetization effect"
238,Thats whypublic in favor of DeMonetization
239,The ratio of people inconvenienced by demonetization to those taking the survey on the NaMo app would beor perhaps worse
240,So a story that tells you the flipside of the digital revolution Paytm and Demonetization are busy celebrating My phone go…
241,"Now country is divided into two religion Modi ampAntiModiwhose riot potentially can way bigger than other riots
Demonetization"
242,HPCL Bangalore RO Helping Banks with Demonetization Drive
243,With due respect to the modi govt amp not meaning to offend any of his supportersdemonetization might be good or bad or whatevertbc
244,Narendra Modi App Demonetization Survey Results are out
245,BEFORE and AFTER Gandhi ji heard they are standing there against Demonetization
246,"Vidyut Real Estate is Indian 
Gold is global 
And you want to fire narendramodi on demonetization"
247,Gave a cheque to a local car mechanic today He gladly took itampnarrated his life story to keep me entertained demonetization
248,I reserve the right to seriously judge anyone who uses these stats to justify demonetization knowing how the survey is…
249,suryanavinon how the current wave of Demonetization is the apt way towards digitization of the Indian economy
250,Indians supports PM Modis demonetization All political parties raising hue and cry on this issue surrender please and let it be
251,"Retweeted Harsh K Kapoor harshkkapoor

DeMonetization survey results afterhours
Lacs opinions
Amazing"
252,"YSRCP Chief YS Jagan Mohan Reddys response to a media friends question
Demonetization YSJagan Ysrcp NCBN Tdp"
253,Chandrababu first said that Narendra Modi had implemented Demonetization taking his advice Upon seeing
254,"Demonetization
HPNEs Ladies at Mmbi extend helpFillingForms Water at SBI Mahul Rd Brnch
BringingSmilles
dpradhanbjp Ashut…"
255,The visionary political leader ChandrababuNaidu leading support ecosystem for an efficient running of DeMonetization h…
256,If evenof those who downloaded the app have taken the demonetization survey thatd make the sample sizemln We aremln people
257,"The two thousand rupee note video review 

DeMonetization 
DeMonetisation"
258,of Indians from both rural amp urban areas support demonetization feel it was worth the inconvenience
259,"So are you in support of the demonetization or not
Well according to public opinion majority of the Indians sure are
Ma…"
260,Before I wished someone or company deposit extra money to my account by mistakebut scary now demonetization modi
261,"Dear INCIndia AamAadmiPartypls dont worry abt COMMONPPLU nvr did it in D past Were okay with demonetization
 DeModitisationMarch"
262,if u cn be in Q for Long hours just to getmin glance of God in TirupatiShirdihave same patience and faith for Country demonetization
263,narendramodi helped bank to come out of NPA mess through Demonetization
264,Bet she has a hand in thisDeMonetisation demonetization
265,So farlakhs asshole Bhakts found DeMonetization modi
266,Indores collector would like you to shut up about demonetization At internetfreedom we think that is a problem
267,DO YOU SUPPORT DEMONETISATION DEMONETIZATION MOVE BY PM NARENDRAMODITweeter poll
268,DO YOU SUPPORT DEMONETISATION DEMONETIZATION MOVE BY PM NARENDRAMODITweeter poll
269,all your policies are proaam aadmi jandhangttax declaration and now demonetization WhatsTheDealModiJi bhaiyyajispeaks MediaCooks
270,Thinking of getting married Need to withdraw cash by monthend to pay salaries to servants Demonetization SacrificesOneHasToMake
271,"MVenkaiahNaidu sir
Just saw ur speech on Demonetization in RS Awesome U r cutest politician in Indian history I support Demonetization"
272,Political parties voicing their views on Demonetization Why is industry silentficciindia followassocham Demonetizat…
273,Demonetization a hollow move
274,Whats the takeaway from narendramodi poll on demonetization Thatof indian population is corrupt who think govs move was bad edUAUBDedUBUAedUAUBDedUBUAedUAUBDedUBUAedUAUBDedUBUA
275,Indian online payment firm Paytm says it has addedmillion new users in the two weeks since demonetization
276,Be the Change you want to see Sorry pink Mahatma Gandhi no changedemonetization
277,"People standing in queue must have voted in App 
demonetization"
278,RBI by letting bonds rally crazily without OMOs to suck out liquidity giving easy exit to FIIs at huge profits on a Demonetization rally
279,"days into demonetization deposited amountRs L Croreout of approx Rs L Crore demonitized on th
Whatll be final f…"
280,Please share your opinions on Demonetization scheme and give your frank view and suggestions
281,"Swamy 
The Good News Demonetization Spurs Behaviour Changes We All Hoped To See"
282,gauravbh sambitswarajIndiaToday None will dare to hoardUB nowin fear of another strike onUB notemark it DeMonetization
283,Glad to see no atm queues in bhagalpur Cash withdrawals in minutes NoteBan demonetization
284,Is Demonetization a Conspiracydemonetization
285,Yash speaks his mind out on the issue of demonetization during a discussion in PradeshKanTeam
286,"IndiaStrikesBack
If Only opposition leaders also taking note of that Demonetization has hit pak sponspored terror badly"
287,New Delhi Opposition leaders demonstration against demonetization
288,New Delhi Opposition leaders demonstration against demonetization
289,Why is it so difficult for BJP to have a coherent cogent communication on a critical situation like demonetization
290,New Delhi Opposition leaders demonstration against demonetization
291,New Delhi Opposition leaders demonstration against demonetization
292,RT Hemant Did you vote on Demonetization on Modi survey app A
293,"Indians race for money and time

How long successful and sustainable will be this strategic game of DeMonetization against Demons"
294,"In Cash Crunch RBI Chief Urjit Patel Missing
Demonetization miss fire in arranging new Currency by RBI"
295,If Meena Kumari was Tragedy Queen then Narendra Modi is surely Drama King Demonetization
296,Demonetization K Crore Deposited In JanDhanAccount Most From Bengal Karnataka The reason for protestsNDTV
297,Political parties voicing their views on Demonetization Why is industry silentficciindia followassocham DemonetizationNoEffect
298,Listening to Zaka Jacob berating and trying to prove demonetizationis working Ha Laughable attempt
299,"Modi and BJP ties with the underworld and Mafia exposed
Demonetization Demonetisation"
300,After demonetization even beggars have become smart edUAUBDedUBUC follow DattaamitAmit travelblogger…
301,"Look how TOI is misleading people amp spreading false statement against demonetization 
Media and oppositionXposed"
302,I guess this is the only guaranteed way to get cash these days edUAUBDedUBUB demonetization cash ATM Bengaluru
303,"Sir
People are still unaware of you dream India
Kindly make them knew your visionDemonetization"
304,Crore wedding of Janardhan Reddy ampMillion views of Kriti are the only two not affected by demonetization
305,"arvindkejriwal MamataBanerjee It is natural that the person who cries who looses most

Demonetization"
306,"PUBLIC RESPONSE TO SURGICALSTRIKE against BLACKMONEY by narendramodi 
Demonetization Remonetization…"
307,Hitler finds out about DemonetizationRead the subtitles edUAUBDedUBUedUAUBDedUBU
308,HPCL GMOSZteam assisting people at Chennai during Demonetization
309,Demonetization Fallout — Future Cars Will Be Fitted With Digital Identity Tags
310,"arvindkejriwal MamataBanerjee It is natural that the person who cries who looses most

Demonetization"
311,Im from Rajasthan Why no Camel and DaalBaatiDemonetization
312,Demonetization Should India embrace eWallets What is an eWallet
313,sambitswaraj this channel IndiaToday never does a balance debate by calling same no Of proopposite spokesmenanti BJP DeMonetization
314,Results of Modis survey on his promotional app r as expected Thiss not PMOpinionPoll Modi just wanted to test…
315,Unable to withdraw money for exam fees teen hangs himself Demonetization
316,DeMonetization PMModi had exposed TMC amp its Chief Mamta Di with reg corruption in WB that Bengal Didnt change but Mam…
317,"No Flag Large Enough

What do u mean RanaAyyubSeems ur bundles are raddi now or a message

demonetization"
318,Supreme Court refuses to stay petitions against Demonetization
319,Kejriwal posts pic of dead robber and claims its demonetization related death How shameless has this man become
320,ArvindKejriwal loses his temper at BBC reporter who questions AAP ldrs link between suicides amp demonetization
321,RT if you support Demonetization and Favorite if you are against it
322,airtelindia takes a bite of the governemnt big demonetization pie becomes first paymentbank to go live…
323,Please read this thread It might be possible … Demonetization
324,"There is pain There is sufferingInflicted by demonetization
Time to show gratitude empathy not to be dismissive 
I…"
325,"Demonetization Teen commits suicide in India after failing to withdraw cash for exam fees 

NoCash IndiaSuffers"
326,They are all protesting against Demonetization But how many of them have been so vocal about Corruption Deliberately…
327,Its neither Mr Modi nor public who made demonetization hot thanks to few hands full of Netas who made it grand success IndiaWithModi
328,"Almostpositive towards demonetization 
 C vote and PM App"
329,The objective of Demonetization will not be achieved unless government monitors and probes deposits made into Jan Dhan accounts
330,"Terrorists use Bitcoin demonetisation wont impact them Digvijaya

Bitcoin Demonetization India"
331,Waiting in line is only one way poor people will be hurt by Demonetization To know full impact we need to answers to man…
332,th days amp main headlines still on Demonetization Other serious issues inc the Pak army crossfire being neglected Not good for country
333,Thanks to demonetizationreduction in crime rate in India Black money seems to be the sole reasonall problems in In…
334,Did you vote on Demonetization on Modi survey app
335,AshokaRoad sadhavi Unfortunately for Pessimists like BJP Insider Demonetization is becoming Success
336,Why ArvindKejriwal amp MamataOfficial trying to instigate Indiansa Civil war in India against demonetization Arrest them…
337,Demonetization move of Modi Who is supporting it who is opposing it and why A complete coverage of all parties
338,demonetization is VishwasghaatBreachOfTrustCheating where the words of RBI governor on anote now worth rubbish
339,Heres a roundup of what the bloggers blogged about demonetization Read it in Buzzing Blogosphere below
340,Heres a roundup of what the bloggers blogged about demonetization Read it in Buzzing Blogosphere below
341,After pushing people into a new sport of chasing ATMs amp Banks they chose to play a different sport demonetization
